_id,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
6843fa1e7fe66773fab32831,"Pasta","Grains",217,28.1,8.3,38.9,3.7,43.2,653,176,"Dinner",224
6843fa1e7fe66773fab32832,"Oats","Grains",492,32.8,45.9,27.5,7.5,5.1,435,70,"Breakfast",255
6843fa1e7fe66773fab32833,"Orange","Fruits",222,21.1,85,45.1,1.7,46.8,422,260,"Snack",876
6843fa1e7fe66773fab32834,"Pasta","Grains",335,38,64.7,39.1,9.5,2.1,322,139,"Snack",786
6843fa1e7fe66773fab32835,"Nuts","Snacks",552,25.9,27.4,39.2,1.5,47.3,338,292,"Breakfast",751
6843fa1e7fe66773fab32836,"Cheese","Dairy",252,18,24.9,31,8.2,43.6,744,110,"Breakfast",244
6843fa1e7fe66773fab32837,"Strawberry","Fruits",141,19,93.3,11.8,5.7,20,970,263,"Lunch",967
6843fa1e7fe66773fab32838,"Oats","Grains",336,43.1,56.8,21.9,9.4,18.1,452,262,"Lunch",791
6843fa1e7fe66773fab32839,"Butter","Dairy",315,37.8,25.5,15.6,1.2,1,555,119,"Breakfast",863
6843fa1e7fe66773fab3283a,"Orange Juice","Beverages",553,44.1,25.7,21.9,4.5,36.7,888,171,"Dinner",455
6843fa1e7fe66773fab3283b,"Quinoa","Grains",496,18.1,24.9,16.5,0.2,13,346,57,"Breakfast",452
6843fa1e7fe66773fab3283c,"Rice","Grains",142,14.6,21.9,41.4,2.7,46.5,947,48,"Lunch",868
6843fa1e7fe66773fab3283d,"Oats","Grains",71,4,62.8,42.7,1.7,31.2,87,109,"Breakfast",248
6843fa1e7fe66773fab3283e,"Strawberry","Fruits",595,32.5,23.8,35.1,9.3,32,389,278,"Dinner",942
6843fa1e7fe66773fab3283f,"Orange","Fruits",165,7.7,35,44.2,5.3,8.7,21,154,"Dinner",685
6843fa1e7fe66773fab32840,"Yogurt","Dairy",568,27.5,63.4,25.4,1.6,9.5,360,20,"Snack",927
6843fa1e7fe66773fab32841,"Butter","Dairy",437,41.2,71.7,6,7.8,14.8,893,8,"Snack",665
6843fa1e7fe66773fab32842,"Quinoa","Grains",195,45,40.9,31.6,8.8,0.8,372,184,"Breakfast",823
6843fa1e7fe66773fab32843,"Beef Steak","Meat",71,33.4,70,27.3,6.6,44.3,864,31,"Snack",846
6843fa1e7fe66773fab32844,"Apple","Fruits",271,13.7,89.5,33.8,8,3.9,509,289,"Snack",728
6843fa1e7fe66773fab32845,"Cheese","Dairy",353,34.1,87.5,47,3.3,17,172,194,"Snack",786
6843fa1e7fe66773fab32846,"Broccoli","Vegetables",219,32.6,49.5,30.3,9.4,23.5,771,138,"Dinner",663
6843fa1e7fe66773fab32847,"Water","Beverages",171,47.4,80.3,10.1,9,44.3,525,264,"Breakfast",985
6843fa1e7fe66773fab32848,"Beef Steak","Meat",539,43.1,35.6,15.6,0.2,33.1,496,82,"Lunch",506
6843fa1e7fe66773fab32849,"Beef Steak","Meat",86,48.7,52.9,9.3,5.9,5.2,888,216,"Snack",876
6843fa1e7fe66773fab3284a,"Paneer","Dairy",173,22.1,59.4,30.1,5.2,12.4,424,10,"Snack",986
6843fa1e7fe66773fab3284b,"Cheese","Dairy",359,31.6,30.8,13.3,3.1,18.3,880,236,"Lunch",643
6843fa1e7fe66773fab3284c,"Salmon","Meat",508,5.3,70.4,40.3,6.1,47.2,423,230,"Snack",470
6843fa1e7fe66773fab3284d,"Grapes","Fruits",294,21.6,97.9,23.5,8.1,45.5,934,4,"Breakfast",624
6843fa1e7fe66773fab3284e,"Yogurt","Dairy",315,4.7,23.6,7.5,9.2,4.8,971,277,"Dinner",989
6843fa1e7fe66773fab3284f,"Nuts","Snacks",191,28.8,39.6,40.3,6.5,23.9,842,282,"Dinner",903
6843fa1e7fe66773fab32850,"Apple","Fruits",485,49.2,81.2,5.8,3.7,44.1,343,123,"Lunch",573
6843fa1e7fe66773fab32851,"Milk","Dairy",282,30.3,69.7,21.5,5.4,39.9,731,263,"Dinner",491
6843fa1e7fe66773fab32852,"Salmon","Meat",281,19.6,61,29.7,2.7,4.1,871,289,"Snack",272
6843fa1e7fe66773fab32853,"Quinoa","Grains",233,39.6,53.4,44.6,8.7,38.4,433,247,"Lunch",929
6843fa1e7fe66773fab32854,"Beef Steak","Meat",184,19,39.9,1.1,0.8,39.1,762,102,"Dinner",642
6843fa1e7fe66773fab32855,"Pork Chop","Meat",449,44.3,76.2,39.8,5.5,5.1,828,231,"Snack",168
6843fa1e7fe66773fab32856,"Chicken Breast","Meat",547,20.3,33.9,44.9,7.6,28.5,587,151,"Snack",232
6843fa1e7fe66773fab32857,"Chicken Breast","Meat",285,13.9,46.2,31.8,8.8,28.8,764,103,"Dinner",257
6843fa1e7fe66773fab32858,"Banana","Fruits",244,2.6,93.3,22.2,3.6,40,675,268,"Breakfast",831
6843fa1e7fe66773fab32859,"Coffee","Beverages",484,29.7,70.2,37.9,8.6,32.7,569,176,"Lunch",269
6843fa1e7fe66773fab3285a,"Chicken Breast","Meat",592,34.7,55.6,21.1,2.9,35.3,561,116,"Snack",859
6843fa1e7fe66773fab3285b,"Orange","Fruits",57,8.4,65.5,35.9,8.4,49.3,973,67,"Dinner",845
6843fa1e7fe66773fab3285c,"Eggs","Meat",434,47.5,34.2,25.5,6,15.9,247,11,"Dinner",522
6843fa1e7fe66773fab3285d,"Broccoli","Vegetables",527,16.1,76.4,34.7,4.5,22,360,61,"Breakfast",727
6843fa1e7fe66773fab3285e,"Butter","Dairy",538,36.3,17.8,29.8,2,42.9,39,18,"Dinner",818
6843fa1e7fe66773fab3285f,"Coffee","Beverages",276,20.7,97.9,27.3,4.7,4.8,168,142,"Dinner",202
6843fa1e7fe66773fab32860,"Apple","Fruits",558,12.3,55.4,26.1,4.1,4.8,38,147,"Dinner",750
6843fa1e7fe66773fab32861,"Strawberry","Fruits",308,42.1,25.7,3.1,7.8,18.6,355,233,"Snack",510
6843fa1e7fe66773fab32862,"Grapes","Fruits",56,41.9,77.4,29.2,1.2,17,552,30,"Breakfast",937
6843fa1e7fe66773fab32863,"Pork Chop","Meat",565,4.8,45.9,45.1,7.9,17.1,213,122,"Lunch",971
6843fa1e7fe66773fab32864,"Cheese","Dairy",91,11.1,76.6,38.8,8.6,12.7,88,35,"Dinner",736
6843fa1e7fe66773fab32865,"Spinach","Vegetables",282,12,54,6.6,2.2,29.4,198,81,"Lunch",332
6843fa1e7fe66773fab32866,"Pasta","Grains",563,46,19.4,34.3,6.6,23.2,570,235,"Lunch",265
6843fa1e7fe66773fab32867,"Cookies","Snacks",566,45.4,8.8,44.5,4.8,28.2,527,166,"Lunch",655
6843fa1e7fe66773fab32868,"Carrot","Vegetables",315,9.1,67.7,39.1,3.8,20.8,612,227,"Snack",828
6843fa1e7fe66773fab32869,"Butter","Dairy",216,11.5,24.5,2.6,9.3,1.7,369,85,"Lunch",143
6843fa1e7fe66773fab3286a,"Orange","Fruits",589,48.4,67,24.3,5.9,9.5,159,131,"Snack",653
6843fa1e7fe66773fab3286b,"Orange","Fruits",381,49.6,7.8,37.7,4.9,1.5,85,185,"Lunch",899
6843fa1e7fe66773fab3286c,"Potato","Vegetables",161,30.4,72.8,31.4,7.3,38.4,934,62,"Snack",569
6843fa1e7fe66773fab3286d,"Chicken Breast","Meat",57,22.3,10.4,14.3,10,11.1,935,75,"Lunch",320
6843fa1e7fe66773fab3286e,"Oats","Grains",499,36.6,74.4,34.6,8.8,18,976,140,"Snack",487
6843fa1e7fe66773fab3286f,"Orange Juice","Beverages",412,41.9,5.5,14.4,4.5,27.4,816,8,"Dinner",179
6843fa1e7fe66773fab32870,"Coffee","Beverages",575,38.4,94,1.1,4.7,45.4,343,72,"Dinner",323
6843fa1e7fe66773fab32871,"Cookies","Snacks",362,47.2,47.7,23.9,1.7,17.2,174,211,"Snack",130
6843fa1e7fe66773fab32872,"Strawberry","Fruits",492,34.3,27.1,16.6,8.4,45.6,950,297,"Lunch",593
6843fa1e7fe66773fab32873,"Pasta","Grains",470,16.2,51.4,24.2,6.1,31,865,144,"Snack",912
6843fa1e7fe66773fab32874,"Butter","Dairy",509,45.5,72.6,40.7,9.2,39.5,311,115,"Lunch",734
6843fa1e7fe66773fab32875,"Banana","Fruits",296,6.8,20.6,11.5,1.2,39.8,107,250,"Lunch",709
6843fa1e7fe66773fab32876,"Water","Beverages",181,6.6,12.9,45.2,2.1,33,98,86,"Snack",234
6843fa1e7fe66773fab32877,"Orange","Fruits",572,40.1,49.7,14.9,2.6,40.3,208,176,"Breakfast",955
6843fa1e7fe66773fab32878,"Milkshake","Beverages",507,48.2,79.6,15.5,9.5,8.5,530,293,"Lunch",306
6843fa1e7fe66773fab32879,"Grapes","Fruits",346,36.7,47.9,34.7,4,34.9,107,288,"Dinner",639
6843fa1e7fe66773fab3287a,"Potato","Vegetables",537,44.4,28.2,17.5,7,30.7,597,99,"Dinner",122
6843fa1e7fe66773fab3287b,"Green Tea","Beverages",425,23.1,30.9,9.2,8.2,36.4,201,145,"Lunch",101
6843fa1e7fe66773fab3287c,"Nuts","Snacks",560,36.1,15.1,12.3,8,28.1,530,18,"Dinner",853
6843fa1e7fe66773fab3287d,"Milkshake","Beverages",148,39.3,67.7,18.2,4,42.6,469,230,"Dinner",935
6843fa1e7fe66773fab3287e,"Nuts","Snacks",322,36,56.7,21.1,0.9,31.1,645,236,"Lunch",362
6843fa1e7fe66773fab3287f,"Cookies","Snacks",240,21.4,78,14.2,9,1.1,17,243,"Breakfast",327
6843fa1e7fe66773fab32880,"Yogurt","Dairy",144,45.2,42.2,1.5,8.3,41.1,122,298,"Dinner",859
6843fa1e7fe66773fab32881,"Chicken Breast","Meat",450,18.1,14.7,25.8,9.7,6.7,761,276,"Dinner",539
6843fa1e7fe66773fab32882,"Bread","Grains",467,4.5,95.5,49.5,8.9,28.9,577,273,"Dinner",891
6843fa1e7fe66773fab32883,"Nuts","Snacks",309,22.2,7.9,35.6,9.7,41.2,38,271,"Dinner",468
6843fa1e7fe66773fab32884,"Coffee","Beverages",594,15.2,21,2,4.1,39.2,800,270,"Lunch",841
6843fa1e7fe66773fab32885,"Rice","Grains",527,35.9,52.3,35.1,2.7,34,783,240,"Snack",646
6843fa1e7fe66773fab32886,"Bread","Grains",304,18.6,75.8,49.8,3.6,10.8,817,114,"Snack",927
6843fa1e7fe66773fab32887,"Milk","Dairy",235,12.4,83.2,47.4,6.6,33,468,37,"Lunch",383
6843fa1e7fe66773fab32888,"Milk","Dairy",176,36.5,70.7,14.9,3,41.7,370,23,"Dinner",589
6843fa1e7fe66773fab32889,"Carrot","Vegetables",484,13.6,69.1,30.8,3.6,10.5,373,300,"Dinner",888
6843fa1e7fe66773fab3288a,"Butter","Dairy",131,34.6,12.5,17,3.8,31.7,704,174,"Dinner",667
6843fa1e7fe66773fab3288b,"Strawberry","Fruits",543,29.7,67.8,7,3.6,14.7,835,152,"Dinner",423
6843fa1e7fe66773fab3288c,"Beef Steak","Meat",89,2.4,11.3,18.7,9.4,10.4,885,102,"Snack",774
6843fa1e7fe66773fab3288d,"Pork Chop","Meat",359,10.8,54.5,8.7,4.3,46.7,712,246,"Dinner",775
6843fa1e7fe66773fab3288e,"Beef Steak","Meat",342,18.9,9.8,5,4,22.9,907,109,"Snack",275
6843fa1e7fe66773fab3288f,"Bread","Grains",50,18.4,11.1,29.6,2.8,22.1,446,260,"Breakfast",189
6843fa1e7fe66773fab32890,"Salmon","Meat",403,47.1,45.8,38.6,0.7,23.3,259,279,"Dinner",694
6843fa1e7fe66773fab32891,"Cheese","Dairy",267,43.6,16.8,17.4,5.3,8.5,266,140,"Breakfast",979
6843fa1e7fe66773fab32892,"Beef Steak","Meat",537,50,96.3,23.6,5.4,42.6,142,63,"Dinner",831
6843fa1e7fe66773fab32893,"Potato","Vegetables",519,14.5,38.5,20.7,1,18.4,889,215,"Lunch",273
6843fa1e7fe66773fab32894,"Salmon","Meat",168,34.5,57.5,9.2,4.2,43.7,108,179,"Lunch",826
6843fa1e7fe66773fab32895,"Coffee","Beverages",122,17.1,70.4,21,6.4,5.8,196,189,"Lunch",865
6843fa1e7fe66773fab32896,"Chocolate","Snacks",153,46.7,91,45,7,49.7,494,38,"Lunch",751
6843fa1e7fe66773fab32897,"Carrot","Vegetables",263,33.4,9.3,17.1,7.8,25.4,17,93,"Dinner",755
6843fa1e7fe66773fab32898,"Spinach","Vegetables",253,11.5,43.5,21.7,6.3,45.4,335,183,"Breakfast",214
6843fa1e7fe66773fab32899,"Carrot","Vegetables",488,4.6,68.8,47.2,7.1,26.1,85,240,"Lunch",567
6843fa1e7fe66773fab3289a,"Potato","Vegetables",565,48.7,54.6,2.9,0.4,7,388,96,"Snack",169
6843fa1e7fe66773fab3289b,"Grapes","Fruits",179,1.4,47.7,20.3,4.8,27,595,292,"Lunch",209
6843fa1e7fe66773fab3289c,"Cheese","Dairy",213,17.3,35.9,7.1,4.1,43.6,12,53,"Breakfast",247
6843fa1e7fe66773fab3289d,"Broccoli","Vegetables",355,44.5,70.5,37.4,8.3,27.1,36,295,"Snack",689
6843fa1e7fe66773fab3289e,"Nuts","Snacks",178,28,64.6,35.4,8.3,35.3,672,230,"Dinner",518
6843fa1e7fe66773fab3289f,"Bread","Grains",530,36.3,58,32.3,8.4,21.7,93,49,"Breakfast",288
6843fa1e7fe66773fab328a0,"Water","Beverages",417,7.7,97.6,39.2,8.8,5.7,292,220,"Dinner",193
6843fa1e7fe66773fab328a1,"Chips","Snacks",365,29.1,67.1,28.2,4.8,41.3,810,4,"Dinner",652
6843fa1e7fe66773fab328a2,"Banana","Fruits",140,19.1,38.6,30.2,7.1,12.6,766,245,"Dinner",996
6843fa1e7fe66773fab328a3,"Chocolate","Snacks",106,38.9,16.9,33.7,3.4,32.7,589,280,"Dinner",718
6843fa1e7fe66773fab328a4,"Cheese","Dairy",410,23.9,51.4,16.1,2.2,14.5,783,215,"Lunch",817
6843fa1e7fe66773fab328a5,"Paneer","Dairy",223,30.1,20.9,15.6,6.7,18,896,198,"Dinner",996
6843fa1e7fe66773fab328a6,"Cheese","Dairy",160,41.1,34.7,14.7,4.6,8.6,341,249,"Breakfast",931
6843fa1e7fe66773fab328a7,"Green Tea","Beverages",224,22.3,28.7,10.1,3.8,25.7,656,229,"Snack",350
6843fa1e7fe66773fab328a8,"Chocolate","Snacks",336,40.8,71.1,46.9,3.5,37.1,646,43,"Breakfast",405
6843fa1e7fe66773fab328a9,"Broccoli","Vegetables",343,41.8,62.8,19.3,4.2,33,666,266,"Snack",326
6843fa1e7fe66773fab328aa,"Orange","Fruits",454,43.4,82.9,5.8,7.2,14.7,440,125,"Snack",970
6843fa1e7fe66773fab328ab,"Bread","Grains",199,6.2,52.4,9,6.3,1.1,676,246,"Snack",454
6843fa1e7fe66773fab328ac,"Potato","Vegetables",444,28.6,77.5,9.6,1.7,6.9,698,61,"Dinner",605
6843fa1e7fe66773fab328ad,"Chips","Snacks",139,7,73.1,3.1,3.9,10,768,275,"Breakfast",428
6843fa1e7fe66773fab328ae,"Apple","Fruits",121,8.7,55.9,10.3,1.1,26,745,264,"Lunch",159
6843fa1e7fe66773fab328af,"Rice","Grains",287,2.2,91.8,31.5,9.1,26.9,592,250,"Snack",334
6843fa1e7fe66773fab328b0,"Broccoli","Vegetables",541,6.7,87.7,4.4,0.8,41.8,187,104,"Snack",211
6843fa1e7fe66773fab328b1,"Pasta","Grains",593,17.9,53.9,9.9,2.1,33.4,980,243,"Lunch",277
6843fa1e7fe66773fab328b2,"Broccoli","Vegetables",311,21.3,67.6,5.8,7.6,44.3,328,161,"Dinner",265
6843fa1e7fe66773fab328b3,"Bread","Grains",587,20.4,84.3,36.7,5.6,36.2,321,31,"Lunch",308
6843fa1e7fe66773fab328b4,"Grapes","Fruits",391,12.6,20.4,2.2,5.9,11.4,10,130,"Lunch",861
6843fa1e7fe66773fab328b5,"Bread","Grains",79,10,89.4,12.9,7.7,29.8,164,212,"Dinner",387
6843fa1e7fe66773fab328b6,"Grapes","Fruits",67,27.7,41.9,38.4,5.3,36.9,459,247,"Snack",671
6843fa1e7fe66773fab328b7,"Cheese","Dairy",587,5.5,54.5,47.4,1.8,8.7,41,55,"Dinner",633
6843fa1e7fe66773fab328b8,"Butter","Dairy",136,33.7,37.7,42,4.3,15.2,540,117,"Snack",789
6843fa1e7fe66773fab328b9,"Banana","Fruits",561,45.4,56.8,31.8,8.2,35.5,318,93,"Lunch",364
6843fa1e7fe66773fab328ba,"Orange","Fruits",447,9,40.7,34.6,7.8,40.1,905,36,"Snack",261
6843fa1e7fe66773fab328bb,"Milkshake","Beverages",204,25.4,18.2,45.1,9.1,27,46,292,"Lunch",444
6843fa1e7fe66773fab328bc,"Water","Beverages",570,39.6,83.5,16.8,8,44.6,602,159,"Lunch",228
6843fa1e7fe66773fab328bd,"Apple","Fruits",521,18.6,46.2,36,3.6,27.6,613,127,"Lunch",193
6843fa1e7fe66773fab328be,"Quinoa","Grains",481,29.2,12.5,9.7,7.6,34.5,42,120,"Dinner",251
6843fa1e7fe66773fab328bf,"Nuts","Snacks",369,38.2,16.8,4.1,6.9,4.1,70,165,"Dinner",686
6843fa1e7fe66773fab328c0,"Yogurt","Dairy",568,2.3,11.8,16.2,5,22.7,90,213,"Dinner",353
6843fa1e7fe66773fab328c1,"Yogurt","Dairy",172,6.9,25.7,29.1,7.2,45.5,509,198,"Lunch",100
6843fa1e7fe66773fab328c2,"Spinach","Vegetables",201,41,12.7,47.1,0.8,19.1,115,220,"Snack",558
6843fa1e7fe66773fab328c3,"Green Tea","Beverages",404,12.1,33.3,4.5,6.4,20.4,127,162,"Breakfast",187
6843fa1e7fe66773fab328c4,"Chocolate","Snacks",531,20,12.3,30.3,9.9,38.1,194,138,"Breakfast",906
6843fa1e7fe66773fab328c5,"Spinach","Vegetables",115,8.7,6.7,35.1,4.7,26,261,85,"Lunch",538
6843fa1e7fe66773fab328c6,"Salmon","Meat",59,36.3,13.9,26.9,5.7,8.8,916,64,"Breakfast",269
6843fa1e7fe66773fab328c7,"Popcorn","Snacks",481,38.6,36.8,12.2,8.1,22.2,263,125,"Lunch",829
6843fa1e7fe66773fab328c8,"Milkshake","Beverages",328,6.8,85.3,17,8.1,40.8,607,171,"Snack",182
6843fa1e7fe66773fab328c9,"Banana","Fruits",358,27.3,37.5,16.7,0.3,47.1,703,98,"Lunch",811
6843fa1e7fe66773fab328ca,"Eggs","Meat",530,43.6,18.1,10.5,7.1,1,26,255,"Lunch",629
6843fa1e7fe66773fab328cb,"Eggs","Meat",95,37.2,81.9,20.7,6.1,19.8,722,275,"Snack",219
6843fa1e7fe66773fab328cc,"Chocolate","Snacks",384,7.1,96.4,40,6.5,20.2,734,1,"Lunch",144
6843fa1e7fe66773fab328cd,"Milkshake","Beverages",103,30.2,70.8,42,4.6,8.4,6,222,"Breakfast",721
6843fa1e7fe66773fab328ce,"Carrot","Vegetables",289,14,52.9,17.1,2.9,6.5,53,98,"Snack",839
6843fa1e7fe66773fab328cf,"Chocolate","Snacks",551,35.6,13.8,4,8.2,21.5,134,288,"Snack",186
6843fa1e7fe66773fab328d0,"Oats","Grains",497,18,70.8,42.8,9.5,30.5,665,7,"Snack",848
6843fa1e7fe66773fab328d1,"Milkshake","Beverages",414,22,67.8,8.4,2.2,2.2,648,159,"Dinner",899
6843fa1e7fe66773fab328d2,"Spinach","Vegetables",205,1.1,10.5,28.1,6.4,21.8,937,44,"Dinner",528
6843fa1e7fe66773fab328d3,"Salmon","Meat",574,20.4,92.9,35,3.9,44,49,32,"Breakfast",246
6843fa1e7fe66773fab328d4,"Nuts","Snacks",433,40.5,34.5,28.7,8.3,44,957,280,"Dinner",802
6843fa1e7fe66773fab328d5,"Banana","Fruits",546,12.3,52.9,37.8,9.2,24.2,183,137,"Breakfast",421
6843fa1e7fe66773fab328d6,"Water","Beverages",410,16.9,15.1,4,7.5,9.2,10,57,"Breakfast",888
6843fa1e7fe66773fab328d7,"Apple","Fruits",79,18.1,74.7,19.7,0.2,46.6,270,36,"Dinner",671
6843fa1e7fe66773fab328d8,"Tomato","Vegetables",500,18.8,10.5,18.6,7.9,2.5,966,282,"Breakfast",894
6843fa1e7fe66773fab328d9,"Grapes","Fruits",425,25.3,83.8,7.4,8.6,25.1,206,48,"Dinner",233
6843fa1e7fe66773fab328da,"Cookies","Snacks",113,21.4,27.1,29.3,5.1,47.2,304,163,"Breakfast",132
6843fa1e7fe66773fab328db,"Chocolate","Snacks",185,2.4,71.1,34.1,3.1,41.3,250,121,"Breakfast",875
6843fa1e7fe66773fab328dc,"Water","Beverages",559,26.3,63.2,33.1,4.1,5.6,502,154,"Breakfast",880
6843fa1e7fe66773fab328dd,"Eggs","Meat",482,37.1,27.2,11.9,7.7,22,173,234,"Breakfast",901
6843fa1e7fe66773fab328de,"Cookies","Snacks",542,16.6,42.3,28.8,2.2,28.3,700,99,"Snack",768
6843fa1e7fe66773fab328df,"Carrot","Vegetables",300,9.5,61.5,19,10,3.2,829,190,"Lunch",291
6843fa1e7fe66773fab328e0,"Butter","Dairy",485,26.2,34.1,17.9,0.7,12.5,399,286,"Breakfast",804
6843fa1e7fe66773fab328e1,"Orange Juice","Beverages",71,6.7,90,31.2,2.6,22,372,22,"Dinner",672
6843fa1e7fe66773fab328e2,"Potato","Vegetables",181,43.1,87.1,38.2,2.7,18.4,76,266,"Breakfast",669
6843fa1e7fe66773fab328e3,"Pork Chop","Meat",330,20.2,83.1,49.8,6.9,27.9,836,134,"Snack",203
6843fa1e7fe66773fab328e4,"Chocolate","Snacks",249,11.4,13.3,28.6,1.7,1.7,535,269,"Lunch",300
6843fa1e7fe66773fab328e5,"Spinach","Vegetables",224,41.5,78.3,24.6,6.9,17.7,70,126,"Snack",189
6843fa1e7fe66773fab328e6,"Coffee","Beverages",246,15.1,97.7,27.5,2.1,28.2,367,261,"Dinner",388
6843fa1e7fe66773fab328e7,"Beef Steak","Meat",499,26.9,25.2,26.7,7.1,21,645,40,"Lunch",610
6843fa1e7fe66773fab328e8,"Paneer","Dairy",194,6.2,80.8,32.6,8.9,21.6,334,41,"Dinner",297
6843fa1e7fe66773fab328e9,"Milk","Dairy",194,17.4,59.6,46.6,6.1,24,50,202,"Lunch",323
6843fa1e7fe66773fab328ea,"Salmon","Meat",200,21.8,28.4,34.2,5.2,20.9,511,157,"Dinner",393
6843fa1e7fe66773fab328eb,"Rice","Grains",244,10.6,74.4,34.2,0.1,41.5,668,170,"Snack",570
6843fa1e7fe66773fab328ec,"Paneer","Dairy",185,22.3,10.4,17.3,6.9,1.7,993,121,"Breakfast",567
6843fa1e7fe66773fab328ed,"Strawberry","Fruits",219,25.9,65.9,17.3,7.3,14.9,576,290,"Lunch",489
6843fa1e7fe66773fab328ee,"Salmon","Meat",403,8.8,78.3,5.7,4.9,38.6,60,239,"Snack",913
6843fa1e7fe66773fab328ef,"Grapes","Fruits",214,10.9,86.3,2.6,1.4,40.3,977,177,"Breakfast",603
6843fa1e7fe66773fab328f0,"Apple","Fruits",190,16.4,92.3,47.8,3.8,2.9,870,80,"Breakfast",958
6843fa1e7fe66773fab328f1,"Cookies","Snacks",157,21.7,10.6,33.8,8.2,0.9,822,85,"Breakfast",806
6843fa1e7fe66773fab328f2,"Milkshake","Beverages",550,49.2,88.3,12.2,0.1,32.3,69,1,"Lunch",192
6843fa1e7fe66773fab328f3,"Milkshake","Beverages",319,32.4,86.4,46.9,5.5,17.4,601,189,"Snack",570
6843fa1e7fe66773fab328f4,"Popcorn","Snacks",68,45.2,73.9,13.9,0.5,28.8,275,242,"Dinner",617
6843fa1e7fe66773fab328f5,"Banana","Fruits",519,5.9,45.5,41.7,7.8,9,319,283,"Lunch",971
6843fa1e7fe66773fab328f6,"Carrot","Vegetables",570,39.2,35.6,13,4.3,0.6,539,59,"Dinner",317
6843fa1e7fe66773fab328f7,"Cookies","Snacks",406,30.3,95.8,42.4,2.6,44,752,286,"Breakfast",250
6843fa1e7fe66773fab328f8,"Orange Juice","Beverages",589,11.2,16.5,43,9.4,15.6,758,177,"Dinner",449
6843fa1e7fe66773fab328f9,"Orange","Fruits",60,34.9,9.3,22.7,7.3,27.8,192,69,"Breakfast",560
6843fa1e7fe66773fab328fa,"Green Tea","Beverages",532,16,25.4,40.8,4.5,49.4,505,191,"Dinner",742
6843fa1e7fe66773fab328fb,"Apple","Fruits",458,36.9,94.6,5.7,7.6,29.9,498,246,"Snack",612
6843fa1e7fe66773fab328fc,"Potato","Vegetables",377,49.9,42.9,33.6,7.7,15.7,108,35,"Dinner",360
6843fa1e7fe66773fab328fd,"Pork Chop","Meat",563,9.5,18.2,16.6,6.7,25.6,108,174,"Breakfast",615
6843fa1e7fe66773fab328fe,"Popcorn","Snacks",204,49.6,75.5,22.6,9.9,7.6,620,85,"Breakfast",746
6843fa1e7fe66773fab328ff,"Orange","Fruits",218,37.1,98.1,18.2,1.3,18.7,97,120,"Dinner",557
